price,location
45995,losangeles
33000,losangeles
22495,losangeles
38995,losangeles
10500,losangeles
45995,losangeles
15000,losangeles
20995,losangeles
14995,losangeles
14750,losangeles
46995,losangeles
11950,losangeles
11950,losangeles
9900,losangeles
45995,losangeles
11950,losangeles
11950,losangeles
11950,losangeles
10,sandiego
11950,losangeles
11950,losangeles
11950,losangeles
11950,losangeles
9900,losangeles
5700,losangeles
5500,losangeles
46995,losangeles
4500,losangeles
44900,losangeles
200,losangeles
7500,losangeles
1700,losangeles
8000,losangeles
24995,losangeles
16995,losangeles
9000,losangeles
14500,sandiego
650,sandiego
6000,sandiego
60,sandiego
31500,sandiego
100,sandiego
100,sandiego
49900,sandiego
11950,sandiego
11950,sandiego
11950,sandiego
11950,sandiego
61990,sandiego
11950,sandiego
11950,sandiego
15,sandiego
600,losangeles
4500,losangeles
125000,losangeles
6750,losangeles
7750,losangeles
795,losangeles
30995,losangeles
38995,losangeles
10500,losangeles
24900,losangeles
19999,losangeles
15,losangeles
12500,losangeles
1,losangeles
28900,losangeles
5500,sanantonio
5000,dallas
700,sandiego
125,sandiego
23000,sandiego
1,sandiego
8700,sandiego
55,sandiego
115,sandiego
115,sandiego
115,sandiego
60,sandiego
2500,sandiego
60,sandiego
28000,losangeles
80,losangeles
21500,losangeles
21500,losangeles
110000,losangeles
26900,losangeles
26999,losangeles
5500,losangeles
2500,losangeles
23999,losangeles
21500,losangeles
150,losangeles
16500,losangeles
4500,losangeles
57995,sanantonio
49995,sanantonio
17220,sanantonio
19998,sanantonio
54995,sanantonio
34995,sanantonio
69893,sanantonio
17500,sanantonio
69900,sanantonio
19788,sanantonio
76882,sanantonio
16649,sanantonio
16995,sanantonio
26759,sanantonio
18000,sanantonio
5900,dallas
350,dallas
25000,dallas
3000,dallas
9900,dallas
6900,dallas
2600,dallas
30000,dallas
79995,dallas
3750,dallas
15750,dallas
9800,dallas
15250,dallas
16900,dallas
18000,dallas
12500,dallas
39900,dallas
29995,sandiego
3600,sandiego
22995,sandiego
100,sandiego
3000,sandiego
995,sandiego
750,sandiego
29995,sandiego
225,sandiego
39500,sandiego
7000,sandiego
39500,sandiego
1500,sandiego
12500,losangeles
48000,losangeles
21500,losangeles
21500,losangeles
21500,losangeles
6700,losangeles
38999,losangeles
20,losangeles
23999,losangeles
48000,losangeles
18995,losangeles
16200,losangeles
75,losangeles
32999,losangeles
61999,losangeles
48999,losangeles
15000,losangeles
49690,sanantonio
41550,sanantonio
13500,sanantonio
78433,sanantonio
30960,sanantonio
19810,sanantonio
9927,sanantonio
4995,sanantonio
9999,sanantonio
26379,sanantonio
3950,sanantonio
22995,sanantonio
12188,sanantonio
37995,sanantonio
39900,dallas
19500,dallas
22495,dallas
14900,dallas
17900,dallas
23900,dallas
43500,dallas
